"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"BUILT_BY";"CONFIGURATION__POLE-THROW_";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_SWITCHING_CURRENT";"MAX_SWITCHING_VOLTAGE_AC_";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PRODUCT_TYPE";"PROD_ID";"PURCHASE-URL";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"SWITCH_TYPE";"TE_PART_NUMBER";"TP_SIGNAL_NAME";"VALUE";"VENDOR";
"5";"";"LEDCHIPLED_0805";"CHIPLED_0805";"3V3, CHRG, FLT, PGOOD, STAT";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1uF";"0.1UF-0603-25V-5%";"0603";"C2";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"";"";"";"0.1uF";"";
"9";"0.1uF";"C-EUC0603K";"C0603K";"C4, C6, C7, C14, C15, C19, C20, C22, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"1-1571636-0";"1-1571636-0";"SW5_1571636";"RST";"";"";"";"";"EMA_UL_Team";"Single Pole - Single Throw";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"TACT,SMT,GULL WING,260GF,T&R";"";"";"1-1571636-0";"-";"-";"";"";"";"";"";"";"";"Switch";"";"";"";"";"";"Tactile Switches";"1-1571636-0";"";"";"TE Connectivity";
"1";"1.21k";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"1.54M";"R-EU_R0603";"R0603";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"1.5uF";"C-EUC0603K";"C0603K";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"1000pF";"C-EUC0603K";"C0603K";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"100nF";"C-EUC0603K";"C0603K";"C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"1048P";"1048P";"1048P";"U2";"KEYSTONE - 1048P - BATTERY HOLDER, 18650, SMD";"";"";"";"";"";"";"KEYSTONE - 1048P - BATTERY HOLDER, 18650, SMD";"mm";"Keystone Electronics";"1048P";"";"";"";"534-1048P";"https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/1048P?qs=9%252Bwcgl%2FJqd1h8Vx3IFpTxA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
